postTitle,postDescription,text,likesCount,facebookUrl,clean_text
,,"Non seulement je ne vous parle pas de la mauvaise qualité de la connexion internet mais aussi d' une tarification abusive des forfaits , je n' arrive toujours pas à comprendre un forfait de 30g acheté le 25 Août et aujourd'hui on est le 6 je consulte et biimmmm #00G en moins de 12 jours pour un forfait de 30 jours. C'est purement de l' #arnaque . Vous faites pire que la concurrence Expresso Senegal . Je vous déconseille fortement ces forfaits franchement  Expresso Senegal",0,https://web.facebook.com/photo/?fbid=1227776409390729&set=a.454658450035866&locale=fr_FR,non seulement parle mauvaise qualit connexion internet aussi tarification abusive forfaits arrive toujours comprendre forfait g achet aot aujourdhui consulte biimmmm moins jours forfait jours cest purement faites pire concurrence expresso senegal dconseille fortement forfaits franchement expresso senegal
,,Sen 30 giga yi xolaat leen ko déjà le réseau n'est pas stable et vous facturez plus de giga pour rien,0,https://web.facebook.com/photo?fbid=1283745120460524&set=a.454658450035866&locale=fr_FR,sen giga yi xolaat leen ko dj rseau nest stable facturez plus giga rien
,,Comment active une ligne svp,0,https://web.facebook.com/photo?fbid=1283745120460524&set=a.454658450035866&locale=fr_FR,comment active ligne svp
,,Ah mangui beug maguett Ndékété mangui si keurgui depuis 2009,0,https://web.facebook.com/photo?fbid=1283745120460524&set=a.454658450035866&locale=fr_FR,ah mangui beug maguett ndkt mangui si keurgui depuis
,,"Ziguinchor, rond-point Jean Paul 2",0,https://web.facebook.com/photo/?fbid=1229620389206331&set=a.454658450035866&locale=fr_FR,ziguinchor rondpoint jean paul
,,Sa me rappelle manifestations bou drapeau Sénégal nek si gaw ak manifestants bii,0,https://web.facebook.com/photo/?fbid=1229620389206331&set=a.454658450035866&locale=fr_FR,rappelle manifestation bou drapeau sngal nek si gaw ak manifestants bii
,,"@Expresso Senegal 
Ziguinchor, la terre des Hommes intègres Rond point Jean Paul 2",0,https://web.facebook.com/photo/?fbid=1229620389206331&set=a.454658450035866&locale=fr_FR,senegal ziguinchor terre hommes intgres rond point jean paul
,,Rond point Jeau Paul 2,0,https://web.facebook.com/photo/?fbid=1229620389206331&set=a.454658450035866&locale=fr_FR,rond point jeau paul
"Forfait bu am vitamine, moy Buur 3000F bii ! 
Profite de 30 Go internet ak 300 minutes d'appels tous réseaux. 
Valable 30 jours. Activer ko gaaw au *19*30#

Ku mën na def !

#Buur3000 #ExpressoSenegal",,Lolou yep am réseau boubakh moko gueun,0,https://web.facebook.com/Expresso221/posts/pfbid02rr1rNzvPWKLGrResZH6MNRbPVDPPYXPJuFPuocJwRPNZ6fipoMhdQVJ5ZWjrjevel?locale=fr_FR,lolou yep am rseau boubakh moko gueun
"Forfait bu am vitamine, moy Buur 3000F bii ! 
Profite de 30 Go internet ak 300 minutes d'appels tous réseaux. 
Valable 30 jours. Activer ko gaaw au *19*30#

Ku mën na def !

#Buur3000 #ExpressoSenegal",,"J’ai entendu dire que 3000f =30 Go internet. Hier j’ai acheté une carte SIM expresso puis activer les 3000f . Tous se passait à merveille jusqu’à 17h rien de marche,le réseau ne marche plus alors que j’ai identifié la puce et la configurer aussi. En ce moment j’ai presque 28 Go et je peux pas connecter. Je regrette vraiment d’avoir choisi l’expresso. Thies Medina fall",0,https://web.facebook.com/Expresso221/posts/pfbid02rr1rNzvPWKLGrResZH6MNRbPVDPPYXPJuFPuocJwRPNZ6fipoMhdQVJ5ZWjrjevel?locale=fr_FR,jai entendu dire f go internet hier jai achet carte sim expresso puis activer f tous passait merveille jusqu h rien marchele rseau marche plus alors jai identifi puce configurer aussi moment jai presque go peux connecter regrette vraiment davoir choisi lexpresso thies medina fall
"Forfait bu am vitamine, moy Buur 3000F bii ! 
Profite de 30 Go internet ak 300 minutes d'appels tous réseaux. 
Valable 30 jours. Activer ko gaaw au *19*30#

Ku mën na def !

#Buur3000 #ExpressoSenegal",,"Un opérateur qui se concentre uniquement dans les villes peut même faire 30 Go pour 1500 F 
Lii dou victoire Senegal dou DAKAR Ak Thiès",0,https://web.facebook.com/Expresso221/posts/pfbid02rr1rNzvPWKLGrResZH6MNRbPVDPPYXPJuFPuocJwRPNZ6fipoMhdQVJ5ZWjrjevel?locale=fr_FR,oprateur concentre uniquement villes peut mme faire go f lii dou victoire senegal dou dakar ak this
"Forfait bu am vitamine, moy Buur 3000F bii ! 
Profite de 30 Go internet ak 300 minutes d'appels tous réseaux. 
Valable 30 jours. Activer ko gaaw au *19*30#

Ku mën na def !

#Buur3000 #ExpressoSenegal",,Mo meilleur,0,https://web.facebook.com/Expresso221/posts/pfbid02rr1rNzvPWKLGrResZH6MNRbPVDPPYXPJuFPuocJwRPNZ6fipoMhdQVJ5ZWjrjevel?locale=fr_FR,mo meilleur
"Forfait bu am vitamine, moy Buur 3000F bii ! 
Profite de 30 Go internet ak 300 minutes d'appels tous réseaux. 
Valable 30 jours. Activer ko gaaw au *19*30#

Ku mën na def !

#Buur3000 #ExpressoSenegal",,Ok mai connexion bi dafa faible partout,0,https://web.facebook.com/Expresso221/posts/pfbid02rr1rNzvPWKLGrResZH6MNRbPVDPPYXPJuFPuocJwRPNZ6fipoMhdQVJ5ZWjrjevel?locale=fr_FR,ok mai connexion bi dafa faible partout
"Forfait bu am vitamine, moy Buur 3000F bii ! 
Profite de 30 Go internet ak 300 minutes d'appels tous réseaux. 
Valable 30 jours. Activer ko gaaw au *19*30#

Ku mën na def !

#Buur3000 #ExpressoSenegal",,Bima la diokhé sama numéro ba légui meuno ma revenir ci loutakh réseau bii gnew,0,https://web.facebook.com/Expresso221/posts/pfbid02rr1rNzvPWKLGrResZH6MNRbPVDPPYXPJuFPuocJwRPNZ6fipoMhdQVJ5ZWjrjevel?locale=fr_FR,bima diokh sama numro ba lgui meuno revenir ci loutakh rseau bii gnew
"Forfait bu am vitamine, moy Buur 3000F bii ! 
Profite de 30 Go internet ak 300 minutes d'appels tous réseaux. 
Valable 30 jours. Activer ko gaaw au *19*30#

Ku mën na def !

#Buur3000 #ExpressoSenegal",,Mai séne réseau bi bakhoul,0,https://web.facebook.com/Expresso221/posts/pfbid02rr1rNzvPWKLGrResZH6MNRbPVDPPYXPJuFPuocJwRPNZ6fipoMhdQVJ5ZWjrjevel?locale=fr_FR,mai sne rseau bi bakhoul
"Ku xam sa valeur,  mo ley Teral sa souné !
Ño ngi leen di dalal au #115# dans notre programme de fidélité.

Souscrivez et recevez des points  après chaque activation de forfaits. 
Points yoyu ngey convertir en minute d’appels wala connexion !

Fidélité ci Expresso dëgg dëgg dey fey ! 

#ExpressoSenegal
#TeralDay 
#FidelitéDeyFay",,J'ai acheté un pass mais depuis ça ne fonctionne pas et le service client n'aide pas du tout,0,https://web.facebook.com/Expresso221/posts/pfbid024DePzLRJHizKDSySYZt3ZC4EXEF6CAykqaJvbnVoDAjA1rB2C6X4cSbsgh9hksDNl?locale=fr_FR,jai achet pas depuis a fonctionne service client naide tout
"Ku xam sa valeur,  mo ley Teral sa souné !
Ño ngi leen di dalal au #115# dans notre programme de fidélité.

Souscrivez et recevez des points  après chaque activation de forfaits. 
Points yoyu ngey convertir en minute d’appels wala connexion !

Fidélité ci Expresso dëgg dëgg dey fey ! 

#ExpressoSenegal
#TeralDay 
#FidelitéDeyFay",,Vous coupez nos puces et si on vous appellez ça passe pas,0,https://web.facebook.com/Expresso221/posts/pfbid024DePzLRJHizKDSySYZt3ZC4EXEF6CAykqaJvbnVoDAjA1rB2C6X4cSbsgh9hksDNl?locale=fr_FR,coupez puce si appellez a passe
,,"Qualité mo geune quantité... A chak fois avec le buur 3000f.
30 Gigas you amoul bene ndiarigne, 3g sakh dou dialeu je parles pas du 4g... Désolé mais qualité de réseau ZERO",1,https://web.facebook.com/photo/?fbid=1258954512939585&set=a.454658450035866&locale=fr_FR,qualit mo geune quantit a chak fois buur f gigas you amoul bene ndiarigne g sakh dou dialeu parles g dsol qualit rseau zero
,,Forfaits limités mo fi wara diéx,0,https://web.facebook.com/photo/?fbid=1258954512939585&set=a.454658450035866&locale=fr_FR,forfaits limit mo fi wara dix
,,Liii bou yague nguenko wara daf les arnaqueurs passent par tigo ou expresso souvent,4,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,liii bou yague nguenko wara daf arnaqueurs passent tigo expresso souvent
,,"Vous êtes les premiers responsables, pourquoi vous vendez les puces ds la rue sans identication?
Toute personne souhaitant avoir une puce expresso devrait se déplacer en agence et être identifié en même temps.",4,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,premier responsables pourquoi vendez puce d rue sans identication toute personne souhaitant avoir puce expresso devrait dplacer agence tre identifi mme temp
,,Meilleurs,0,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,meilleurs
,,Moi j’ai déjà identifié ma puce mais comment en être sûre,0,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,jai dj identifi puce comment tre sre
,,Kedougou réseau bi dou dara vous pouvez couper tout,1,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,kedougou rseau bi dou dara pouvez couper tout
,,Dolen suspendre ken sen ay puce laniouy diay si mbeed bi 500 franc sans identification et vous êtes au courant ndax yenako sentané sen ay bus laniouy nek donc bouln niousonal ak identification,0,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,dolen suspendre ken sen ay puce laniouy diay si mbeed bi franc sans identification courant ndax yenako sentan sen ay bus laniouy nek donc bouln niousonal ak identification
,,Gni dieund ak sen CNI nak diaratuko di et pourquoi vendre des puces activé seulement,0,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,gni dieund ak sen cni nak diaratuko di pourquoi vendre puce activ seulement
,,Mane identifié nako ba paré mais à chaque fois gnoumay wo wala envoyé message que identifier wouma ko,1,https://web.facebook.com/photo/?fbid=1273686608133042&set=a.454658450035866&locale=fr_FR,mane identifi nako ba chaque fois gnoumay wo wala envoy message identifier wouma ko
,,C’est une promo ou une nouvelle offre Expresso Senegal,0,https://web.facebook.com/photo/?fbid=1273435594824810&set=a.454658450035866&locale=fr_FR,cest promo nouvelle offre expresso senegal
,,C'est vrai ce que  tu as dit expresso Sénégal,0,https://web.facebook.com/photo/?fbid=1246236070878096&set=a.454658450035866&locale=fr_FR,cest vrai dit expresso sngal
,,Réseau bi bakhoul dra à kedougou,0,https://web.facebook.com/photo?fbid=1279224137579289&set=a.454658450035866&locale=fr_FR,rseau bi bakhoul dra kedougou
,,"Bonjour la communauté, moi je suis Congolaise résidant à l'Etats Unis Amérique,sans vous mentir l'HÉPATITE n'est pas une maladie qu'on traite à l'hôpital,tu seras fatigué des ordonnances pour des dépenses inutiles mais aucune satisfaction .Pour tous vos problème lié à l'HÉPATITE,rejoindre ce docteur traditionnel béninois. C'est lui qui m'a aidé à trouver de la guérison totale pour mon cas à l'aide de ces produits purement naturels. Il est vraiment spécialisé dans son domaine et encore sérieux dans son travail.En cas de besoin contacter lui sur WhatsApp en cliquant 
https://wa.me/message/Z5KYQPHAMV6OI1
NB : Il traite aussi les autres maladies comme Kyste, myome, Fibrome, Règle douloureuse, faiblesse sexuelle, tomber enceinte, mauvaise haleine et surtout VIH/SIDA..",0,https://web.facebook.com/photo?fbid=1279224137579289&set=a.454658450035866&locale=fr_FR,bonjour communaut congolaise rsidant letats unis amriquesans mentir lhpatite nest maladie quon traite lhpitaltu fatigu ordonnances dpenses inutiles aucune satisfaction tous problme li lhpatiterejoindre docteur traditionnel bninois cest aid trouver gurison totale ca laide produits purement naturels vraiment spcialis domaine encore srieux travailen ca besoin contacter whatsapp cliquant nb traite aussi autres malady comme kyste myome fibrome rgle douloureuse faiblesse sexuelle tomber enceinte mauvaise haleine surtout vihsida
,,So lébé credit expresso ndax dinga ko mana dougeul connexion,0,https://web.facebook.com/photo/?fbid=1259306272904409&set=a.454658450035866&locale=fr_FR,so lb credit expresso ndax dinga ko mana dougeul connexion
,,Vous êtes meilleures,0,https://web.facebook.com/photo/?fbid=1259306272904409&set=a.454658450035866&locale=fr_FR,meilleures
,,Mère  opérateur,0,https://web.facebook.com/photo/?fbid=1259306272904409&set=a.454658450035866&locale=fr_FR,mre oprateur
,,Ken meunoul connecté wou normalement ndakh réseau bou bone,2,https://web.facebook.com/photo/?fbid=1240802324754804&set=a.454658450035866&locale=fr_FR,ken meunoul connect wou normalement ndakh rseau bou bone
,,Sama connexion bi danko nangou ndakh date bi dafa diot pourquoi pas renouvellement ?,0,https://web.facebook.com/photo/?fbid=1240802324754804&set=a.454658450035866&locale=fr_FR,sama connexion bi danko nangou ndakh date bi dafa diot pourquoi renouvellement
,,Je me forme....vous pouvez rajouter ce quatrième élément il me semble.....tout nest pas amusement.....et il serait bien de contribuer à inculquer cette réalité aux gens.....dans you tube et autre il ya plein de vidéos de formation et dans tous les domaines......,0,https://web.facebook.com/photo/?fbid=1240802324754804&set=a.454658450035866&locale=fr_FR,formevous pouvez rajouter quatrime lment sembletout nest amusementet bien contribuer inculquer cette ralit gensdans you tube autre ya plein vidos formation tous domaines
,,"Mome nékhna trop surtout bou 3000f bi ohh

Mes le problème est que sou courant coupé do ame réseau sougnou côté fii",0,https://web.facebook.com/photo/?fbid=1240802324754804&set=a.454658450035866&locale=fr_FR,mome nkhna trop surtout bou f bi ohh problme sou courant coup do ame rseau sougnou ct fii
